cancer_loc,sex,race,survival_time,stage,survival_percent
7,1,1,1,3,16.6
7,1,1,2,1,40.3
7,1,1,2,2,26.9
7,1,1,2,3,6.4
7,1,1,3,1,34.3
7,1,1,3,2,17.6
7,1,1,3,3,4.1
7,1,1,4,1,31.7
7,1,1,4,2,13.9
7,1,1,4,3,3
7,1,1,5,1,30.3
7,1,1,5,2,11.7
7,1,1,5,3,2.5
7,1,2,0,1,100
7,1,2,0,2,100
7,1,2,0,3,100
7,1,2,1,1,47.2
7,1,2,1,2,46.4
7,1,2,1,3,12.5
7,1,2,2,1,35.4
7,1,2,2,2,24.3
7,1,2,2,3,5.1
7,1,2,3,1,27.3
7,1,2,3,2,16.1
7,1,2,3,3,3
7,1,2,4,1,24.5
7,1,2,4,2,13.6
7,1,2,4,3,1.8
7,1,2,5,1,23
7,1,2,5,2,11.7
7,1,2,5,3,1.7
7,2,1,0,1,100
7,2,1,0,2,100
7,2,1,0,3,100
7,2,1,1,1,48.5
7,2,1,1,2,47.4
7,2,1,1,3,16.3
7,2,1,2,1,35.1
7,2,1,2,2,24.5
7,2,1,2,3,6.3
7,2,1,3,1,30.8
7,2,1,3,2,16.3
7,2,1,3,3,3.9
7,2,1,4,1,28.9
7,2,1,4,2,12.7
7,2,1,4,3,3
7,2,1,5,1,27.7
7,2,1,5,2,10.9
7,2,1,5,3,2.6
7,2,2,0,1,100
7,2,2,0,2,100
7,2,2,0,3,100
7,2,2,1,1,49.3
7,2,2,1,2,44.3
7,2,2,1,3,14.3
7,2,2,2,1,37.5
7,2,2,2,2,22.8
7,2,2,2,3,5.7
7,2,2,3,1,32.6
7,2,2,3,2,15.8
7,2,2,3,3,3.7
7,2,2,4,1,30.8
7,2,2,4,2,11.4
7,2,2,4,3,2.8
7,2,2,5,1,28.6
7,2,2,5,2,10
7,2,2,5,3,2.7
8,1,1,0,1,100
8,1,1,0,2,100
8,1,1,0,3,100
8,1,1,1,1,93.8
8,1,1,1,2,78.3
8,1,1,1,3,69.1
8,1,1,2,1,87.8
8,1,1,2,2,63.8
8,1,1,2,3,52.4
8,1,1,3,1,83.3
8,1,1,3,2,54.2
8,1,1,3,3,44.9
8,1,1,4,1,79.9
8,1,1,4,2,47.6
8,1,1,4,3,39
8,1,1,5,1,76.9
8,1,1,5,2,44.2
8,1,1,5,3,36
8,1,2,0,1,100
8,1,2,0,2,100
